Classification, Text
negative, my last flight was cancelled flightled and i m very disappointed 
negative, just lost a faithful customer 
negative, i have times and no one has been able to help me out
positive, marsha m at myrtle beach is the greatest she deserves all the respect and praise there is #thankyouforeverything
negative, seriouslyattendants go awol for mins now flight further delayed don t lite a match either 
negative, joined silver preferred because i heard customer service was so greatpity i was misguided 
negative, it is just bad practice and i am disappointed that your airline was not prepared honestly the last time i fly with you guys
negative, well this is about as worthless as your regular service a bunch of do nothings and idiots #sucks
negative, these changes as well to late flightr find out that the flight i was scheduled for isn t ready
negative, after cancelled flightlations and a delaycausing me to miss connecting flight another night not being home thanks #pathetic 
negative, that s understandablemy issue is with creating a new flight without the personnel to do it i changed my plans to accommodate 
negative, thanks now i just need to locate where my luggage is 
positive, we haven t departed yet so let s not get too high hopes but everything has been on schedule so far
negative, thanks for showing interest to greenvillesc 
negative, your app sucks balls compared to 
negative, #usairways so my flight was late flight getting into charlotte so i miss my connector to phoenix thanks again last time i ever fly usair
neutral, thanks suggestion stop the promo messages after a bit and just run musica msg that says call volume is high #vrm 
